sentence,aspect,sentiment
quality for the price for the city of alexandria from the best hotels at this price and the price paid is appropriate,transportation,neutral
the front desk and the phone workers are uncooperative.,employees,negative
"a bad hotel, a hotel that works without running cleaning equipment just for the first day, and then everything was pulled, and the tv broke my stay, no internet repair, bad door key, always broken room service, receiving a call, but without the help of a lot of missing services in this hotel.",service,negative
they gave me a bad service. check-out at other hotels is at 3:00 p.m. but here it should be at 12:00 p.m.,service,negative
"but his furniture is very bad and the family is dirty and worn with stains and dirt, and the breakfast room is very small and the quality of breakfast is bad, it is a collection of cheese, bread, juice and pieces of meat",food,negative
"the sea view, the shower area, the secluded horticulture all add value to this facility, and i’m sure there’s no other place like this on the island!!!",facilities,positive
"good value, but the hotel is clean, and the staff is happy, near the metro station sisli and jawaher mall and close to a large range of shops and close to the american hospital. semi-new furniture opportunities to walk to taksim square.",meals,neutral
"i wish more progress for the staff of this wonderful hotel and more progress, god willing. and i will definitely return.",hotelservices,positive
"transportation is very expensive from the airport, $50 and $35 for breakfast. there are good restaurants near the hotel, there is a japanese restaurant on the front and another chinese restaurant near a back street. but the casino attracts empty and shallow people. loud-mouthed whores beat the dirty streets right next to the hotel.",tourism,negative
"a self-respecting person will not repeat the visit because the hotel has prostitutes sitting in the halls and in the garden and everywhere, so they follow you to the rooms after they have finished their task in one of the rooms with customers and this is happening in front of the management and security of the hotel, the painful thing is that any guest of the hotel becomes like a seeker for this",hotel,negative
"the hotel was very nice. the hotel is well-received and clean. the staff is very cooperative and keen to serve you. the food is varied and tastes great, and there are foods to suit all tastes.",staff,positive
"i will repeat the experience again, god willing.",staff,positive
as well as when you enter the hotel you move to another world of luxury and comfort starts the morning with the smile of all employees and the calmness of the place and the splendor of breakfast and the variety of food options and the professionalism of chefs and super fast to meet your needs and all your needs,facilities,positive
"medium service hotel i liked very much the site, the quality of service and cleanliness is medium, commensurate with the price, frankly a suitable choice for those with a medium budget to spend a long time without high cost rooms and furniture in need of some renovation some noise due to the night cans and the lack of fence surrounding the hotel and yet spent a beautiful week in the hotel",reception,neutral
the food sucks.,food,negative
"the staff is great, and the location is excellent. what else can i say? the train station is at the end of the street and there are fast food places where children will eat their food in peace.",location,positive
beautiful hotel ratings top reception workers in taste excellent room service,hotelservices,positive
the swimming pool is in dire need of daily cleaning and if you were travelling with children i would complain if it was too hot and we couldn’t swim in such a dirty pool. air conditioning and mini fridge work well. we will come back again but call in advance and make sure the pool is cleaned.....,amenities,neutral
the restaurant is special. delivery of food to the rooms is very special. the bed is comfortable. the bathroom is at the highest level.,bathroom,positive
"food is clean but limited and average quality the hotel is attached to the mall and has all the shops, restaurants and pharmacy the hotel is attached to a market with excellent prices and cheaper than cairo the swimming pool is clean",prices,positive
and the service sucks.,service,negative
and its only advantage is the size of the unit is large and the prices are good but it never made me happy i heard that there is a new administration that will take over and until then make comprehensive improvements in everything that is not recommended at all,prices,positive
"perfect weekend getaway!. outstanding location for city attractions, spacious rooms, small but very good pool with jacuzzi and sauna, as well as spa la prairie. egg dish benedict with champagne at breakfast and live piano playing bar at night is the beating heart of city life! we got the perfect vacation! highly recommended!!",beach,neutral
"the security level is very high where you can only access with the apartment key or a secret number, the internet is very fast and wonderful as the free card provides zelamsi and cabron there is no cleaning service, but there are two manual vacuum cleaners",internet,positive
the worst service i got in a decade! the site is awesome! the weekend price is good.,meals,neutral
great view and nice location.,interaction,positive
the worst service i got in a decade! the site is awesome! the weekend price is good.,bathroom,neutral
the room and the bathroom are so old and dirty i'm not booking this hotel again.,room,negative
to the esteemed hotel management... there is a distinctive qualitative shift in the level of service and the extent of improvement observed from the previous year in terms of the high style of employees and supervisors all such as jamal manaseer,management,positive
"and soon the maintenance staff was named alaa, i think, he ended the problem. as for the food and his service, it was one of the most distinctive services provided by the resort.",beach,neutral
"but the service is very weak, and any request needs to be repeated more than once to implement it.",service,negative
"message of thanks to the management of the fairmont hotel,",management,positive
"excellent value for money the staff were friendly and kind from the very first moment we arrived, we did not suffer from the presence of mosquitoes as they sprayed the place every night. the bar is open 24 hours and prices are inclusive,",employees,positive
"the lady at the front desk was good and liked to help unlike the rest of the staff who weren’t good, and the security guys asked me to key my room.",meals,neutral
good service the hotel is in a good location near the local and international airport in andheri east of mumbai. we have a free airport transfer.,bathroom,neutral
"cooking is really great, with a score of 15/20 according to the golte melod guide. we liked the spa/sauna and the goodness of mr. mitre, the owner. ask for the special summer offer, they offer you a 5-day ticket, which is really fun for the budget.",rooms,neutral
"the hotel was really dirty, furniture and mirrors were broken and terrible noise every night.",hotel,negative
"a very comfortable hotel with large rooms. the service is excellent, i booked for 4 nights, and i didn’t want to leave on the last day.",service,positive
breakfast at lotus hotel has been updated recently. hot water is available in the morning and evening in moderation. my advice to you is always to ask for a renovated room on the back of the hotel that is quiet during the night.,hotel services,neutral
"an unsafe place i spent seven days on a family vacation here and although the rooms were good, the rooms were dirty, the glass could barely see through it, and the worst of it was that we lost an expensive camera and some other things, and the administration didn’t pay much attention and the police failed to find out who did it even though it was clear that the only people able to get in were the room servicers.",pool,neutral
breakfast is good and the snook period is delicious where the appetizers are varied every day is worth a try.,facilities,positive
"the rooms weren't cleaned the entire time we stayed, but upon request, the cleaner and receptionists were available to assist.",rooms,negative
"perfect service, professional, friendly, quick, gentle, and sometimes even smiling. an old room and a pretty crowded interior, but the bed is good.",room,negative
station walk 3 minutes walk to the chinese market 7 minutes from counter 10 buses – airport bus to central station then hotel taxi collaborate taxi station hotel,transportation,positive
"the hotel is very wonderful in terms of cleanliness, reception, cuisine and location it is close to the sea and its view is charming and the oriental food provided by the professional indian cook was very wonderful and close to services and some famous shops and close to one of the oldest military museums",hotel,positive
even though the place is more than great and the hotel owners don't deserve this place.,management,negative
the room was clean and breakfast was good.,staff,neutral
the room is not a soundproof room and you can hear everything on the way and the room care service is done well with the other rooms. the discomfort is done during sleep.,staff,neutral
"i found my comfort a good hotel comfortable rooms warm and good and distinctive having a kitchen you can prepare your food and coffee machine and everything you need to do food next to a large supermarket and grocery store that watches late hours and a group of restaurants, including halal restaurants and the metro station is 5 minutes away and the bus is 5 minutes also i love this place",rooms,positive
soft drinks without soda,facilities,negative
"disgusting knives, unclean forks, unclean cups, wet-smelling towels, and i ended up in the hospital with food poisoning from this hotel.",amenities,negative
"as the towels are small! the room was clean, and breakfast was enough – eggs, bread, cheese – a fairly good egyptian breakfast. we were there during an inactive season, so it’s likely to be busier and noisy in the summer.",room,positive
"excellent hotel, excellent offer 5 times at hotel sknej, last week of july over 5 years. the service is excellent, the location is excellent, and the whole team is always there to help the guests.",views,positive
they don’t serve alcohol but you can buy it and keep it in your small bar.,amenities,negative
what's in the towel service sucks after ordering towels for a shower. the price is too much.,prices,negative
"spacious room we stayed one night with children. four in a room - they provided us with two extra single beds added to the large double bed. clean and spacious, breakfast is good.",meals,neutral
"good value, especially for families. i was traveling alone, but the price is excellent for families. i got a one-bedroom apartment, with a kitchen.",meals,neutral
and poor service to the rooms either you get a lack of electricity and wait for more than two hours because the limit of crossing you means a mistake and not repeated but for the place evidence failed and very bad.,service,negative
12/2012 wonderful and clean hotel and sweet treatment and clean and clean eating and a high level of quality and good violin price i enjoyed very and the days i returned quickly was only the best 6 days,hotel,positive
the hotel is close to the campus and the reception staff is more than wonderful and quick to serve them. i asked to change the room and add a bed. they changed the room to a view room with the addition of the bed without an increase in the price of the room,hotelservices,positive
"cooking is really great, with a score of 15/20 according to the golte melod guide. we liked the spa/sauna and the goodness of mr. mitre, the owner. ask for the special summer offer, they offer you a 5-day ticket, which is really fun for the budget.",pool,neutral
"worthless i went there two years ago when albatross was running the hotel. it was a very good hotel, and the services were very good. but now, under the new administration, it's too expensive for the service. i couldn't sleep because of mosquitoes, and the quality of food was very bad. i had a really bad holiday there.",food,negative
the bathroom and towels were adequate but limited.,bathroom,neutral
my experience in the situation is very bad as the loading and unloading area is strangely chaotic and there is no organization or good reception or farewell from the hotel,hotel,positive
"upon arrival at the hotel, the receptionist refused to accommodate me on the pretext that there was no reservation in my name and he suspended me for two hours, knowing that i arrived at 2 am and gave him the reservation number and his treatment was very bad, he never treated me kindly, as it was late and i was tired of traveling and it was not appreciated.",receptionists,negative
the most wonderful hotel is more than wonderful in terms of reception and welcome makes you feel lively and dazzling and cleaners have an unenviable role to them special thanks to me,interaction,positive
"jordan the hotel is beautiful and wonderful and there are several swimming pools and i liked the idea of having more than one restaurant and this is convenient because the hotel is large, but the rooms from the inside need new furniture and better service, especially bathrooms.",hotel,positive
reception is great. rooms are perfect. size is clean. service is fast.,views,neutral
"try to book a room with a balcony on the third floor where the wonderful crew speaks turkish and english excellently and some of them also understand arabic breakfast is good, but the cooked items are limited",hotel services,neutral
"i found my comfort a good hotel comfortable rooms warm and good and distinctive having a kitchen you can prepare your food and coffee machine and everything you need to do food next to a large supermarket and grocery store that watches late hours and a group of restaurants, including halal restaurants and the metro station is 5 minutes away and the bus is 5 minutes also i love this place",views,neutral
"no wi-fi, no toiletries.",wifi,negative
"for this price, the value does not live up to my expectations compared to other accorhotels in terms of service and hotel facilities.",service,neutral
"tourism in istanbul the distinctive view of the blue waters of the bosphorus with the warm reception of the hotel staff is what makes you choose this hotel in addition to its proximity to the subway station and the sea station (a 5-minute walk) makes travel to the rest of the tourist areas and islands in istanbul easy, unless i like the hotel is the room services are rather modest for the 4-star hotels",views,positive
"that’s fine, but... i’ve stayed here on several occasions, it’s a convenient hotel to stay at. staff vary in the degree of their willingness to help, but i’ve always found the building guard to help me. however, you have to be careful that if the royal family is in town, you might have to go outside to make room for vip guests.",pool,neutral
"a good enough hotel as a 4-star hotel the area of the hotel is not large, rectangular-shaped and therefore there are not many relaxing areas in the hotel.",views,neutral
"this place (like most of kenya) thinks that people from the west can pay anything, but it's expensive for an average stay.",transportation,neutral
"- the restaurant is very bad, the furniture is very bad, and the food is very bad.",restaurant,negative
"my husband and i have been to this hotel three times. we have enjoyed our time there so often that we have booked another three days there. we will go there in march 2013 to celebrate our 40th and 60th birthdays. the hotel staff were friendly, the floors were great and the food is good. we booked a room overlooking the pool and i’m sure we won’t be disappointed.",facilities,neutral
i had to stay in a hotel for my travel reasons at the end of october and that was the last minute option as we were on a local holiday and everything was closed. i used the hotel to sleep in the evening. the hotel is shabby and dirty.,hotel,negative
"i advise everyone to ask about him when they go and deal with him, and only breakfast was good, and nothing wrong with him, and the view from the restaurant was superstitious.",restaurant,positive
"there is internet service and cars can be provided from the airport to the hotel and vice versa, the hotel has a gift market and an outdoor cafe that offers snacks and cold and hot drinks",food,neutral
free internet access - in some rooms service is poor and sending private phones to du company inside the hotel is not good,service,neutral
"the best vacation is not a place to tip, just a great place,",place,positive
"for the price you pay, you get a great offer on accommodation: which is good by the standards of egyptian backpackers. the views from the roof are great, and the place there will be great once it is cleaned.",views,positive
"breakfast is good, workers are friendly, tv has arabic channels, wi-fi is free and good everywhere.",television,neutral
"everything was clean and organized. the building is located across the street from the uae shopping mall. so, the site was excellent. the downsides: the internet service was not contained in the room price and was expensive. also, the sofas needed to be updated.",prices,negative
"the service was good, the food is excellent, the room is good, (but very old). it's pretty much inside a military base, so it's in a safe zone. it's not perfect, but i like it.",bathroom,neutral
"bad experience, and i won't repeat it, untrained staff, especially receptionists.",staff,negative
the location is not bad and the metro is just a few meters away.,staff,neutral
"the food is very medium, and in some cases it is served warm.",reception,neutral
"it is located near the tram and this makes it easy to go anywhere you want. the hotel has a turkish bath and includes massage and spa, so it is a good hotel in general.",amenities,neutral
"relaxing is a small hotel suitable for relaxing and its atmosphere is beautiful at the arabian ranched golf club. there is not much else to offer besides the golf club, there is no swimming pool and no other amenities on site.",cleanliness,neutral
"a problem in the timing of exit at 2 pm and in ramadan we leave at 3:30 according to the intervention of the manager who came later ""despite the prior agreement with the receptionist... but the manager should apply the contract strictly",facilities,negative
"hotel baht, but clean hotel santana is close to the middle class where they can. the lobby is spacious and has many places to relax. there is wi-fi available after purchasing its right from the cafe, and the connection was moderate and reliable, but available only in the lobby. the place is a few streets from the nile but difficult to reach on foot, and there is an open buffet of egyptian breakfast.",internet,neutral
"good value, but the hotel is clean, and the staff is happy, near the metro station sisli and jawaher mall and close to a large range of shops and close to the american hospital. semi-new furniture opportunities to walk to taksim square.",restaurant,neutral
"trade as usual?? while one can notice that the hotel was once well decorated, but apparently the maintenance fell apart. the room looks worn out and the bathroom tile is broken.",bathroom,negative
"that’s fine, but... i’ve stayed here on several occasions, it’s a convenient hotel to stay at. staff vary in the degree of their willingness to help, but i’ve always found the building guard to help me. however, you have to be careful that if the royal family is in town, you might have to go outside to make room for vip guests.",staff,neutral
"the rooms are spacious, tidy and clean and the service is great but the lobby is very small and the price is very good and not high",prices,positive
"in any case, the staff was very friendly and nice, the food was good, the rooms were nice, and the pool was nice and clean.",teamwork,positive
"the hotel is very elegant, beautiful and quiet and deserves 5 stars and i booked a suite overlooking the holy kaaba and the view was very beautiful where you always see the kaaba.",views,positive
"breakfast was nice but the room was so worn out, it could have been cleaned up! inside the suite there was a ridiculously small ""dolly"".",room,negative
"it's not okay to have a hotel booked for three nights from day 10 to day 13, but i left the hotel on the second night because everything was bad at the hotel.",hotel,negative
juices are water sugar.,facilities,negative
"good service, great location, and lots of space. the stay dublin christchurch apartments have plenty of space, beds, and cooking utensils, and are ideally located. the old building and two appliances have some problems, but everything works fine overall.",location,neutral
wi-fi accesses the rooms.,wifi,positive
great hotel i stayed in this hotel for more than a month. the rooms were great and their design was nice.,rooms,positive
"we stayed here on january 13 after some bad experiences with other hotels. the hotel is clean and has good beds, good bathrooms, excellent restaurant and one of the best places in dahab, at almost the same price as other hotels in the region.",accommodation,neutral
i also thank them for taking care of the guests and meeting all the wishes i have had to rest and enjoy in the hotel me and the whole family,hotel,positive
"great features: the hotel was very good, the bar on the ground floor and an extra disco on the 16th floor. the rooms are clean. guests at this hotel are mostly russians or asians.",hotel,positive
the food has a great taste overall.,food,positive
lack of follow-up from the hotel management as if everyone working for himself without control delayed the arrival of a car to the inmate by more than half an hour,amenities,negative
beautiful hotel very beautiful hotel and staff cooperating and smiling and the hotel is very quiet and the rooms are clean and the hotel is located in a high-end area and beautiful service and not in the imagination,hotel,positive
"the bathroom needs maintenance, and the water's weak.",bathroom,negative
"my trip to omrah was nerve-wracking and uncomfortable, the room was not cleaned while i was out and asked to be cleaned.",room,negative
the atmosphere of general malaise in the hotel. the hotel did not have many activities and i felt empty.,hotel,negative
and hospitality and good treatment and all the services provided by the hotel,service,positive
"nice place! excellent location with a really nice staff. near st. paul metro station. close to supermarkets, restaurants and pharmacies. a short walk from elle st. louis, notre dame, pompidou center, picasso museum... the room is small and tidy. a small disadvantage, we cannot stay in the room from 12:00 to 15:00.",fitness,neutral
rooms are small. there's no food variety at all.,rooms,negative
"for this price, the value does not live up to my expectations compared to other accorhotels in terms of service and hotel facilities.",internet,neutral
"very good hotel suitable for non-smoking, and the size of the rooms is small grill, but its price for the rest of the hotels is suitable, and has no facade on the public street,",fitness,neutral
"the rooms are very nice and clean and that's very important to us, the food was actually very good, something new every day, and it's very important to us.",pool,neutral
a pleasant visit to the hotel and an excellent location at the end of abu dhabi corniche and very close to the marina mall and emirates palace.. i enjoyed the high buffet on dinner and food quality..,food,positive
wonderful and hadi and we enjoyed very the hotel is wonderful and hadi and the beach is wonderful and the sea is a masterpiece and without rocks and the swimming pool is wonderful and clean for the rooms is good and furniture needs some renovations,hotel,positive
and the food is great. i'm advising everyone to come down on it because it's so great.,food,positive
there are services that are okay.,reception,neutral
this hotel is mostly used by tour groups.,parking,neutral
static as usual i stayed there for 4 nights as a regular guest: the location is very good. it is always crowded,rooms,neutral
the staff apologized for this mistake and gave us the keys to another room upstairs and we found it to be a non-smoking room only with more ashtrays and insects than the previous room!!!,room,negative
the rooms were clean and the bed was tidy and there was a wide tulip and a sitting area with a 32-inch high-quality tv but not a lot of channels.,pool,neutral
"cairo the hotel is clean and beautiful, but the service is disgusting and the food is final.",service,negative
mvenpick for business travelers from the united states the hotel is comfortable for people from the united states. eating options are good. a good area for exercise but it is for men only.,food,neutral
"hotel near the markets there is no insulation in the rooms you hear everything without exception cleanliness reasonable inside the rooms furniture is normal best location and price, they provide several forms of children's beds tv is normal with all the channels air conditioning good rooms are spacious but i hope they care about cleanliness more",fitness,neutral
"food is clean but limited and average quality the hotel is attached to the mall and has all the shops, restaurants and pharmacy the hotel is attached to a market with excellent prices and cheaper than cairo the swimming pool is clean",location,neutral
"that’s fine, but... i’ve stayed here on several occasions, it’s a convenient hotel to stay at. staff vary in the degree of their willingness to help, but i’ve always found the building guard to help me. however, you have to be careful that if the royal family is in town, you might have to go outside to make room for vip guests.",wifi,neutral
"aqua park is beautiful, the rooms are excellent, the beach is great, it's only wrong to have boats next to the swimming area, it's just the amount of young people who are in the hotel, especially from the gulf.",rooms,positive
it's a malleable resort. please don't go.,beach,negative
"beautiful hotel and great location i stayed in this hotel for five days was beautiful and wonderful and everything you need is within the hotel area of services, barber and cafs. the hotel is very clean and the staff is good and the kitchen is equipped with most of the needs of the guest.",bathroom,positive
"the air conditioning sounds terrible, and the rooms have views of the reception ceiling.",rooms,negative
"the restaurant overlooks the corniche, welcome and good reception and a sense of interest from all the staff of the hotel,",restaurant,positive
"the location of the hotel is a little remote, but it is also acceptable and well known at the taxis and accessible via gps.",cleanliness,neutral
"relaxing is a small hotel suitable for relaxing and its atmosphere is beautiful at the arabian ranched golf club. there is not much else to offer besides the golf club, there is no swimming pool and no other amenities on site.",views,neutral
"niali is a great location, there are a lot of things to do in the area on all this hotel is medium to poor level...",pool,neutral
it is a beautiful indoor swimming pool and its location is fine but it does not overlook the patong sea.,bathroom,neutral
"the rooms near the elevator were a little noisy but changing the room wasn't a problem, so the room was a little too noisy.",views,neutral
"comfortable but not great hotel i traveled on 9/2012.. the atmosphere was nice, the service was good, and the place is really good and comfortable (in front of the village of a thousand nights, and the markets, and the neighboring pharmacies, and near the old market). my family enjoyed relaxing. but unfortunately, it is an old-fashioned resort, and the beach is small and not enough for activities, with not a lot of entertainment.",accommodation,neutral
very nice hotel actually crushes five stars and i advise you to stay in this hotel staff is fully prepared to serve the inmate,staff,positive
"the beach view is an added advantage, the facilities are clean without complaints, and the restaurants are very nice, especially the olio restaurant, which makes italian pizza in an oven with wood fuel.",transportation,neutral
"the reception was great, the service was excellent, and there were excellent morning activities from the animation team and the pool team.",reception,positive
the rooms are boring and uncomfortable. the whole wireless internet is cable.,internet,negative
overall the rooms are good but the lighting is rather poor and i think this is the case for all hotels in abuja except the five-star hotels where the buildings are excellent and the restaurants and the location is good but with very high prices.,bathroom,neutral
bad experience the hotel is in an average location near the beach and port.,location,negative
we also found strands of hair from previous tenants on one of the pillows.,amenities,negative
"and the bathrooms are fine for breakfast, nice, nice dinner, and the people at palmyra are very respectable and very helpful.",rooms,neutral
i do not recommend this hotel i visited the hotel on august 22 a very bad hotel and not worth the five-star swimming pools is not clean at all and the types of food are frequent and not renewed a lot of services are not available and drinking water is hot and soft drinks are also hot and without soda treatment for children is very bad very very no entertainment for children so for a personal experience i do not recommend this hotel at all,amenities,negative
treating employees badly.,employees,negative
"the ugliest so far are the good points: the location is excellent and wi-fi. the bad points: the rooms are very dilapidated and the owner is aggressive. also, 199 euros/night is something beyond imagination after watching what you can get. but the escape will be late, as one has to settle the entire bill before getting the key, you will realize why later.",rooms,negative
"the location of the hotel is very good, but the management that runs this hotel is very bad, and some of the employees who work, unfortunately, including the director of drinks and food, who calls himself that he is above everyone and no one can account for him, he is a hotel manager who is not qualified to deal with guests and his style is very bad in addressing guests",location,positive
"the breakfast wasn't very good, the shower didn't work very well, the staff was moody.",teamwork,negative
"the hotel is not worth five stars, not even four treatment of the arabs by the staff, the treatment of the lowest level of love, although tourism is not even food.",eating,negative
"excellent, but its flaws are a beautiful hotel and clean and wonderful views and tranquility, but what bothered me in the hotel is the wi-fi is very very weak and the bathroom does not contain water to wash only napkins means something strange, and the hotel is very far from most tourist places is not nearby on any complex or bank when you go out for the trip needs a full hour to reach in most places and the framework of the most normal prices",restaurant,neutral
"hotel management and staff are more than excellent - excellent security guards - restaurant, bar and club are really great - i have never seen better than that hotel in addis ababa",staff,positive
"beautiful hotel and great location i stayed in this hotel for five days was beautiful and wonderful and everything you need is within the hotel area of services, barber and cafs. the hotel is very clean and the staff is good and the kitchen is equipped with most of the needs of the guest.",facilities,neutral
awesome hotel.,hotel,negative
beautiful experience great location.. the staff is excellent and friendly.. buffet breakfast despite its small size but it is more than wonderful and if you do not find what you like..,location,positive
"the hotel is walking at the price i myself is the most important thing clean place to sleep as long as i am single, but married people do not recommend this hotel remains a point of view and the hotel level 3 stars and thank you opportunity for me to comment and express opinion",beach,neutral
"away from restaurants and markets, the staff is uncooperative and unfriendly.",staff,negative
"but there is no free parking for the car and the available parking is very valuable and expensive, it is better not to have a car with you!!!",position,negative
"of the worst hotels in terms of food, all the food in the hotel is rotten, flies are gathering on it, and the food is unfit for human use.",food,negative
"rooms are not well organized, and some items like toilet shoes don’t exist. they can do even better for the high price they always ask for.",amenities,negative
"good arrangement for a passing stop i used this hotel as a casual stay in dubai while travelling on emirates. the arrangements are generally good. the transfer goes smoothly. the arrangements at the hotel are good. your meal allowance is offered according to your flight schedule. the hotel is clean, the food is good and the assortment is extensive. a good place to relax when traveling on a long trip.",restaurant,neutral
the menu is not very varied.,food,negative
"attractive price, high-end atmosphere and marine activities",prices,positive
a good hotel and enough i stayed in the hotel for 3 days.. hotel is good in terms of price and proximity to the metro station from which you can move to all areas of milan..,parking,neutral
"single receptionist, no bagger.",fitness,neutral
"the rooms are terrible, the bathrooms are dirty, the service is medium and the food is unimpressive.",hotel services,neutral
"very good hotel and excellent service and breakfast is diverse and helpful staff and its location is excellent in egypt nice people 100 beautiful hotel is close to the pyramids and close to the market near the pyramid street.....and the popular air around the hotel. must not forget the general cleanliness in the hotel and swimming pool hotel good for tourism, comfort and air change",transportation,neutral
"amazing hotel!! we spend the night here during a trip to the desert, the best place!! the resort is built in the traditional way with local materials, and it was built on top of a hill surrounded by amazing views from all sides, and it is very quiet. the food and the kitchen are as good as expected in the middle of the desert.",rooms,neutral
"umrah was the best we stayed at the hotel with the group, which was with us in umrah and we didn't care much about the hotel, but the interest in the rituals and the performance of umrah was okay.",staff,neutral
"great hotel good hotel - spacious room and good furniture - but the bathroom seat is narrow - the staff is friendly and cooperative to the extreme - close to the airport is at noon about ten minutes - al-musaf does not have a restaurant just a small cafe, i think it is very suitable for families",restaurant,negative
"the location is good, the food is boring and routine, the service is bad, especially in beach activities.",service,negative
rayek hotel and small but its location is bad i lived in an apartment with 1635; bedrooms and the accommodation was as follows: the location is bad it is in a residential area and within neighborhoods and does not have a beautiful view,accommodation,neutral
"nice place! excellent location with a really nice staff. near st. paul metro station. close to supermarkets, restaurants and pharmacies. a short walk from elle st. louis, notre dame, pompidou center, picasso museum... the room is small and tidy. a small disadvantage, we cannot stay in the room from 12:00 to 15:00.",location,positive
"insects in the rooms i am mohammed from jordan i visited sharm el sheikh in 5 months the hotel is generally beautiful, but there are some notes first clean forget about the rooms a lot...... insects reptiles and i am sitting balcony large lizard walks yasalam.......eat worse is not interested in eating at all i if you think i visit sharm mshrah come back on the hotel.... thank you",rooms,negative
the hotel also provides transportation to roam in between the ruins of the city the owner of the hotel is the one who designed it himself in terms of the environmental form i hope from anyone who wants to visit the beautiful oasis to stay in this beautiful hotel,transportation,positive
"excellent for low-income people close to the grand mosque, but the buffet is unfortunately very small, but it is quiet and affordable.",rooms,negative
"food is clean but limited and average quality the hotel is attached to the mall and has all the shops, restaurants and pharmacy the hotel is attached to a market with excellent prices and cheaper than cairo the swimming pool is clean",hotel,neutral
a place to rest in a landfill is only good for a cheap rest in a landfill.,amenities,negative
"the room was amazing, and we enjoyed the free drinks in the wonderful bar downstairs.",parking,neutral
an excellent hotel and close to tourist places a hotel that was great and close to all important tourist areas and any place you can visit in less than 1637; minutes,hotel,positive
but food is dangerous (half-group disease due to poor food quality),food,negative
the presence of wi-fi in the rooms in an excellent way - the smell of perfume in the reception - the presence of an additional bed in the room - the electronic screen at the bed to control the devices of the room - the presence of a secluded place for lovers of privacy in the buffet - the presence of a koran and a carpet - the presence of offers from time to time the hotel narrow parking - the absence of a spoon in the mini bar - twice the lighting in the room,wifi,positive
this hotel will always be an optional location when traveling.,hotel,positive
the price is not compatible with the place we stayed there for two nights in two rooms: the pros - the rooms are clean - the english breakfast is good - the location is acceptable,staff,neutral
"i spent the holiday of eid al-adha, the hostel, i was lucky to change rooms because of the yellow ants, which others couldn't do.",room,negative
not a good hotel.,hotel,negative
"and oddly enough, the entrance was filled with the smell of meat because of the restaurant, they both use the same door, and inside the hotel, there's also a smell.",hotel,negative
"i can't call it a hotel, but i can't call it a hotel... it's like a nice building and facilities, but accommodation is uncomfortable.",accommodation,negative
"a small and intimate hotel, with the best continental breakfast on this side of town. the rooms are comfortable, but there is no elevator.",location,neutral
"great location, excellent staff, beach and fun swimming pools",location,positive
breakfast is fine though.,cleanliness,neutral
and i've noticed the cleanliness of the rooms and the seating is top of the fishing trip and you should try it at the time of the pacific sunrise and the beautiful fish.,facilities,positive
"the hotel is not suitable for tourism, 20 minutes away from the airport, the market and the hospitals.",hotel,negative
excellent hotel in view excellent hotel in direct view of the sea i remember when i was late for lunch and the hotel service sent food to the door of the room,hotelservices,neutral
"avoid this place if you are looking for a good place to stay... the location is fine... but it is difficult to find a taxi. the services are very bad, and the receptionists are arrogant... no one cares... avoid this place... breakfast is not bad, but it is not fresh, i would not want to eat in such a place... it is not worth the money you pay...",place,neutral
"however, basic amenities such as the intercom system were not available, and the food was bad again.",facilities,negative
"staying is fine except for poor hygiene level and having stains on carpets and bedding and have bad smells as well as the smell of towels,",cleanliness,negative
"the hotel is elegant and luxurious the hotel is great and arranged and quiet is suitable for the family has special parking for the hotel but its price is a little high location is quiet and the rooms are clean and tidy and room service were wonderful reception is flawed by the severity and committed, especially arabs of them as if they hate their work (arabic psychological) they wish to cancel your reservation this is my feeling and i may be wrong, but next time i will not address them and i will look for any non-arab",pool,neutral
"a good enough hotel as a 4-star hotel the area of the hotel is not large, rectangular-shaped and therefore there are not many relaxing areas in the hotel.",amenities,neutral
i had a great time with the family and i'd like to come back next year. the hotel was good in terms of space and services.,meals,neutral
"the room consists of a simple kitchen, a bathroom, a bed, a tv library, a business clearance desk and a relaxing sofa. it also features a mastery of interior design in terms of color consistency. the hotel is very good",bathroom,positive
and the hotel's a little overpriced until we left the restaurant under a lot of pressure.,restaurant,negative
there are restaurants and grocery stores nearby.,restaurant,positive
quality for the price for the city of alexandria from the best hotels at this price and the price paid is appropriate,internet,neutral
good location near the metro station.,transportation,positive
great service my family and i visited the porto sokhna hotel where the wonderful service and quick response from all the workers where we booked 3 rooms on the lake and the reception section took us to the sea without additional fees and we thanked mr. mohammed for the manager of the front offices and in general the food was good and the service is excellent from all the workers but the beach needs more expansion and attention.,service,positive
"even better, i’ve written about ivory before. i recently had a reason to visit them again and i was amazed. the place seems to have changed hands, and they’re in the process of fixing the place up. there’s even a small restaurant opening soon. i’ve been offered a first-class offer on a two-bedroom apartment. this place has a better price-for-performance ratio than before.",accommodation,neutral
security is present intensively near many shopping areas in riyadh transportation available atms,transportation,positive
"a quiet resort a very quiet, clean and safe resort, god willing, it is a beautiful place for the conservative family and there is no noise or anything.. the hotel is two floors and small and reception is good and service is fast and friendly and parking is available very much and they have a clean beach with some water games you can rent it as a jet ski clock of 1637321632; real and small boat manual of 163732; real and ship of 16371632.",wifi,neutral
"the service is good, but i stayed here during a business trip in the area. all i can do is repeat the previous remarks, the hotel building is old and the rooms are old, as well as the decoration and facilities.",hotel,negative
